Description_of_Personal_Room_At_Home,Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Conflict_Handling_Method,Age_encoded,Faculty_encoded,Attitude_towards_Roommate_Smoking_encoded,Study_Time_Preference_encoded,Communication_Preference_with_Roommate_encoded,Age_normalized,cluster_label
2.0,3.0,0.0,0.0,1.0,0.0,0.0,2,2,2,0,0,-0.5052159429226737,0
2.0,0.0,3.0,1.0,2.0,1.0,2.0,2,5,2,2,0,-0.5052159429226737,1
3.0,1.0,1.0,0.0,1.0,2.0,2.0,3,2,2,0,0,0.2786342473088685,0
2.0,3.0,3.0,2.0,1.0,2.0,0.0,3,2,2,1,0,0.2786342473088685,0
3.0,1.0,1.0,3.0,1.0,2.0,3.0,2,5,2,0,0,-0.5052159429226737,1
2.0,3.0,3.0,2.0,1.0,2.0,0.0,2,2,1,2,0,-0.5052159429226737,0
2.0,2.0,2.0,3.0,1.0,2.0,2.0,4,2,1,1,2,1.0624844375404108,0
3.0,2.0,2.0,2.0,2.0,2.0,2.0,3,2,1,0,0,0.2786342473088685,0
2.0,3.0,1.0,1.0,1.0,2.0,0.0,3,5,2,1,0,0.2786342473088685,1
2.0,2.0,1.0,3.0,1.0,2.0,0.0,1,5,2,0,0,-1.289066133154216,1
2.0,1.0,1.0,3.0,1.0,2.0,2.0,2,5,1,0,0,-0.5052159429226737,1
2.0,1.0,1.0,2.0,1.0,1.0,1.0,3,5,2,2,0,0.2786342473088685,1
2.0,3.0,2.0,2.0,1.0,4.0,2.0,2,2,2,1,2,-0.5052159429226737,0
2.0,2.0,2.0,3.0,2.0,2.0,3.0,2,2,2,2,0,-0.5052159429226737,0
3.0,1.0,1.0,0.0,1.0,2.0,2.0,4,3,2,2,0,1.0624844375404108,0
2.0,2.0,1.0,2.0,1.0,1.0,2.0,3,3,2,2,0,0.2786342473088685,0
2.0,1.0,1.0,0.0,1.0,0.0,1.0,2,2,2,0,0,-0.5052159429226737,0
0.0,1.0,1.0,0.0,0.0,2.0,1.0,4,3,2,1,0,1.0624844375404108,0
2.0,3.0,1.0,2.0,1.0,2.0,3.0,3,2,1,0,0,0.2786342473088685,0
3.0,2.0,2.0,3.0,1.0,3.0,1.0,3,3,2,2,2,0.2786342473088685,0
2.0,0.0,1.0,2.0,2.0,2.0,3.0,3,2,0,2,0,0.2786342473088685,0
2.0,0.0,0.0,0.0,1.0,4.0,2.0,4,2,2,2,0,1.0624844375404108,0
2.0,3.0,3.0,2.0,1.0,2.0,3.0,2,2,1,1,0,-0.5052159429226737,0
2.0,2.0,2.0,0.0,2.0,1.0,2.0,2,2,2,2,0,-0.5052159429226737,0
3.0,2.0,2.0,2.0,1.0,1.0,0.0,2,2,0,2,0,-0.5052159429226737,0
2.0,2.0,2.0,2.0,1.0,2.0,0.0,4,3,2,2,2,1.0624844375404108,0
2.0,0.0,0.0,3.0,2.0,1.0,0.0,2,1,2,2,1,-0.5052159429226737,0
2.0,0.0,0.0,2.0,2.0,2.0,1.0,3,1,0,2,0,0.2786342473088685,0
2.0,0.0,0.0,0.0,1.0,2.0,2.0,1,4,0,2,0,-1.289066133154216,0
1.0,2.0,2.0,3.0,1.0,2.0,1.0,4,3,2,2,2,1.0624844375404108,0
3.0,0.0,0.0,0.0,1.0,2.0,3.0,3,2,2,2,0,0.2786342473088685,0
2.0,0.0,1.0,0.0,1.0,2.0,0.0,2,2,0,2,0,-0.5052159429226737,0
2.0,1.0,3.0,3.0,1.0,4.0,0.0,3,3,2,0,0,0.2786342473088685,0
2.0,3.0,2.0,2.0,1.0,1.0,0.0,4,3,0,2,0,1.0624844375404108,0
3.0,3.0,1.0,0.0,1.0,1.0,0.0,2,2,2,2,0,-0.5052159429226737,0
2.0,3.0,3.0,1.0,2.0,2.0,1.0,4,2,2,2,2,1.0624844375404108,0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,2,2,2,2,2,-0.5052159429226737,0
3.0,1.0,4.0,0.0,1.0,2.0,1.0,4,5,2,2,0,1.0624844375404108,1
2.0,3.0,2.0,3.0,2.0,2.0,2.0,3,7,0,0,0,0.2786342473088685,1
1.0,2.0,2.0,0.0,2.0,1.0,3.0,4,2,1,2,0,1.0624844375404108,0
2.0,3.0,1.0,2.0,1.0,2.0,3.0,4,2,1,1,0,1.0624844375404108,0
2.0,2.0,2.0,0.0,1.0,0.0,1.0,3,2,1,2,0,0.2786342473088685,0
3.0,2.0,1.0,2.0,1.0,2.0,0.0,3,8,0,2,0,0.2786342473088685,1
3.0,2.0,2.0,0.0,2.0,1.0,0.0,4,2,1,2,0,1.0624844375404108,0
2.0,0.0,1.0,0.0,1.0,1.0,0.0,4,8,2,2,0,1.0624844375404108,1
2.0,2.0,2.0,3.0,1.0,1.0,1.0,3,2,2,1,0,0.2786342473088685,0
3.0,0.0,1.0,2.0,1.0,2.0,0.0,1,7,2,0,0,-1.289066133154216,1
2.0,2.0,2.0,3.0,1.0,2.0,3.0,2,7,2,0,0,-0.5052159429226737,1
3.0,2.0,2.0,2.0,2.0,1.0,0.0,3,8,2,2,0,0.2786342473088685,1
3.0,2.0,1.0,2.0,2.0,0.0,0.0,1,8,2,2,0,-1.289066133154216,1
3.0,1.0,1.0,3.0,2.0,2.0,2.0,2,3,2,2,0,-0.5052159429226737,0
3.0,2.0,2.0,2.0,1.0,3.0,3.0,2,3,2,0,0,-0.5052159429226737,0
3.0,2.0,1.0,2.0,2.0,1.0,3.0,1,5,2,2,2,-1.289066133154216,1
2.0,2.0,1.0,2.0,1.0,2.0,1.0,1,6,2,2,0,-1.289066133154216,1
3.0,2.0,2.0,2.0,2.0,4.0,3.0,3,5,2,0,0,0.2786342473088685,1
2.0,3.0,0.0,1.0,1.0,1.0,2.0,4,3,2,2,0,1.0624844375404108,0
3.0,2.0,4.0,2.0,1.0,2.0,1.0,4,4,2,2,0,1.0624844375404108,0
2.0,1.0,2.0,2.0,1.0,3.0,3.0,4,5,1,0,0,1.0624844375404108,1
3.0,1.0,1.0,2.0,2.0,2.0,2.0,3,4,1,2,0,0.2786342473088685,0
3.0,3.0,2.0,2.0,1.0,3.0,0.0,4,3,2,0,2,1.0624844375404108,0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1,5,1,2,0,-1.289066133154216,1
0.0,2.0,0.0,3.0,1.0,1.0,2.0,2,8,1,1,0,-0.5052159429226737,1
2.0,2.0,2.0,0.0,1.0,1.0,0.0,2,5,2,2,0,-0.5052159429226737,1
2.0,1.0,1.0,2.0,0.0,1.0,0.0,2,8,2,1,0,-0.5052159429226737,1
3.0,1.0,2.0,2.0,1.0,1.0,2.0,4,1,0,0,0,1.0624844375404108,0
1.0,3.0,1.0,0.0,2.0,2.0,2.0,1,5,1,2,0,-1.289066133154216,1
2.0,1.0,1.0,2.0,2.0,2.0,3.0,2,4,1,1,0,-0.5052159429226737,0
2.0,3.0,1.0,2.0,1.0,2.0,2.0,3,3,0,0,0,0.2786342473088685,0
3.0,2.0,1.0,2.0,2.0,2.0,1.0,2,7,2,2,0,-0.5052159429226737,1
2.0,2.0,1.0,3.0,1.0,3.0,1.0,2,5,2,0,0,-0.5052159429226737,1
3.0,1.0,0.0,0.0,2.0,2.0,0.0,3,5,1,2,0,0.2786342473088685,1
3.0,0.0,1.0,2.0,1.0,2.0,3.0,1,6,2,2,0,-1.289066133154216,1
3.0,2.0,1.0,0.0,2.0,2.0,3.0,1,7,2,2,0,-1.289066133154216,1
2.0,2.0,0.0,2.0,1.0,2.0,3.0,1,5,2,2,2,-1.289066133154216,1
2.0,0.0,1.0,2.0,1.0,2.0,0.0,3,5,2,0,2,0.2786342473088685,1
